,Metric,Value
0,Total drivers,90709.0
1,Total renters,17013.0
2,Total owners,87927.0
3,Drivers in both categories,14233.0
4,Total miles for all drivers,1120169975.7700002
5,Total miles for renters,163542886.02999997
6,Total miles for owners,956543784.37
7,Mean weekly miles for all drivers,324.09540492903807
8,Mean weekly miles for renters,365.4238498423521
9,Mean weekly miles for owners,318.06823685206575
10,Mean weekly salary for all drivers,986.1991969759067
11,Mean weekly tips for all drivers,95.24208961497462
12,Mean weekly bonus for all drivers,13.240848168651226
13,Mean weekly total earnings for all drivers,1094.6821347595326
14,Mean weekly minutes worked for all drivers,1829.7616888585642
15,Mean weekly hours worked for all drivers,30.496028147642736
16,Mean hourly earnings,35.89589206370629
17,Mean annual earnings,56923.4710074957
